,company,listing_data,offering_price,starting_price,label,closing_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,offering_date,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price_min,desired_offering_price_max,desired_offering_price,manager,manager_rank,topic,topic_per,each_topic_per
217,에프앤가이드,2020-12-17,7000,14000,1,12850,코스닥,중소일반,21083,3892,3479,6018,1626190,500,39.22,1353.9,11383,9500,2020-12-09,10.0,70.0,50%,1327.98,7.6,5200,6500,2,삼성,3.0,2,0.8765,"[(0, 0.034249526), (1, 0.027420115), (2, 0.87651813), (3, 0.03253055), (4, 0.02928171)]"
218,티엘비,2020-12-14,38000,75900,0,54500,코스닥,중소일반,149136,10754,9473,2458,1000000,500,11.0,1551.19,38000,20000,2020-12-04,3.0,77.0,50%,1318.82,6.1,33200,38000,1,DB,15.0,1,0.7236,"[(0, 0.07931587), (1, 0.72358304), (2, 0.053703506), (3, 0.07546762), (4, 0.067929976)]"
219,인바이오,2020-12-11,5800,11600,1,12200,코스닥,중소일반,33736,1178,1020,5042,1630000,500,0.0,1414.15,9454,10000,2020-12-03,0.0,80.0,50%,1386.04,8.23,5100,5800,1,한국,2.0,0,0.9125,"[(0, 0.9125064), (1, 0.021348003), (2, 0.018022453), (3, 0.025326377), (4, 0.022796765)]"
220,엔젠바이오,2020-12-10,14000,28000,1,25650,코스닥,중소일반,1478,-6846,-6865,12215,2444000,1000,0.0,1502.4,34216,24400,2020-12-02,0.0,80.0,50%,1006.96,3.33,10500,14000,1,삼성,3.0,0,0.9284,"[(0, 0.92836934), (1, 0.017476767), (2, 0.014754952), (3, 0.020734677), (4, 0.01866424)]"
221,퀀타매트릭스,2020-12-09,25500,25050,0,24100,코스닥,중소일반,811,-63845,-63811,7294,1707000,500,0.0,167.87,43529,17000,2020-12-01,0.0,80.0,50%,185.56,4.6,19700,25500,1,미래에셋,1.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
222,명신산업,2020-12-07,6500,13000,1,16900,거래소,중소일반,775740,48459,33843,22028,15728791,500,66.67,1372.94,102237,0,2020-11-30,20.0,60.0,50%,1195.69,30.6,4900,5800,2,미래에셋,1.0,1,0.8809,"[(0, 0.034188855), (1, 0.8808513), (2, 0.023148758), (3, 0.032530073), (4, 0.029280994)]"
223,클리노믹스,2020-12-04,13900,18500,0,19000,코스닥,중소일반,4101,-5759,-5760,1320,1972323,100,0.0,341.46,27415,19600,2020-11-24,0.0,80.0,50%,494.2,2.05,10900,13900,1,대신,9.0,0,0.9394,"[(0, 0.93936336), (1, 0.014794326), (2, 0.012489671), (3, 0.017553978), (4, 0.01579865)]"
224,포인트모바일,2020-12-03,15000,30000,1,30550,코스닥,중소일반,62181,8228,8494,616,1094873,100,15.5,1842.97,16423,20000,2020-11-24,14.04,65.96,50%,1447.07,18.19,13000,15000,1,하나,8.0,3,0.8406,"[(0, 0.047782138), (1, 0.03832221), (2, 0.032352466), (3, 0.8406202), (4, 0.040922903)]"
225,엔에프씨,2020-12-02,13400,20700,0,16950,코스닥,중소일반,32860,7587,6572,917,2000000,100,0.0,643.85,26800,20000,2020-11-24,0.0,80.0,50%,979.94,6.15,10200,13400,1,삼성,3.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420435), (2, 0.023148762), (3, 0.032529984), (4, 0.029281953)]"
226,앱코,2020-12-02,24300,30150,0,28900,코스닥,중소일반,84271,4188,3474,4844,2507000,500,19.94,978.13,60920,25000,2020-11-24,0.0,80.0,50%,1141.02,3.64,21400,24300,1,미래에셋,1.0,3,0.8406,"[(0, 0.047782138), (1, 0.03832221), (2, 0.032352466), (3, 0.8406202), (4, 0.040922903)]"
227,제일전기공업,2020-11-26,17000,34000,1,28650,코스닥,중소일반,146148,16643,14127,5555,2900000,500,50.0,1396.1,49300,23000,2020-11-18,0.0,80.0,50%,1196.21,8.86,15000,17000,1,하나,8.0,1,0.4635,"[(0, 0.026624043), (1, 0.46346292), (2, 0.46179032), (3, 0.025326168), (4, 0.022796584)]"
228,하나기술,2020-11-25,35000,70000,1,91000,코스닥,중소일반,59294,4499,4317,1822,800000,500,0.0,1802.1,28000,8000,2020-11-16,0.0,80.0,50%,1393.98,16.83,31000,35000,1,하나,8.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420074), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
229,티앤엘,2020-11-20,36000,72000,1,54000,코스닥,중소일반,32655,8374,7286,2032,800000,500,0.0,1109.19,28800,5000,2020-11-13,5.0,75.0,50%,338.91,0.41,34000,38000,1,한국,2.0,0,0.9394,"[(0, 0.93936336), (1, 0.014794325), (2, 0.01248967), (3, 0.017553976), (4, 0.015798649)]"
230,에이플러스에셋어드바이저,2020-11-20,7500,8100,0,6880,거래소,중소일반,269373,23066,15385,11303,2798086,500,59.04,24.75,20986,0,2020-11-11,20.0,60.0,50%,3.66,25.4,10500,12300,0,NH,4.0,3,0.5215,"[(0, 0.41634694), (1, 0.021347892), (2, 0.018024197), (3, 0.52147907), (4, 0.022801915)]"
231,고바이오랩,2020-11-18,15000,30000,1,31300,코스닥,중소일반,577,-44067,-44067,7742,2400000,500,0.0,566.54,36000,12000,2020-11-10,0.0,80.0,50%,64.33,0.03,18000,23000,0,삼성,3.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.023148652), (3, 0.032529972), (4, 0.029280908)]"
232,네패스아크,2020-11-17,26500,36200,0,38700,코스닥,중소일반,54719,6478,4653,5252,2340400,500,0.0,830.21,62021,23000,2020-11-10,3.0,77.0,50%,707.7,1.6,23400,26500,1,미래에셋,1.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
233,교촌에프앤비,2020-11-12,12300,23850,0,31000,거래소,중소일반,380091,36980,29518,12491,5800000,500,30.0,1318.29,71340,50000,2020-11-04,20.0,60.0,50%,999.44,3.9,10600,12300,1,미래에셋,1.0,4,0.8827,"[(0, 0.03420005), (1, 0.02742204), (2, 0.023149844), (3, 0.03255485), (4, 0.8826732)]"
234,소룩스,2020-11-06,10000,20000,1,26000,코스닥,중소일반,71108,6748,5794,815,1973670,100,17.93,1660.08,19737,19700,2020-10-30,0.0,80.0,50%,1135.7,0.8,8000,10000,1,미래에셋,1.0,2,0.7137,"[(0, 0.07931615), (1, 0.063613154), (2, 0.71367264), (3, 0.07546787), (4, 0.06793019)]"
235,위드텍,2020-10-30,25000,37100,0,41100,코스닥,중소일반,58061,12729,11129,2545,1060000,500,0.0,1185.51,26500,10000,2020-10-21,3.7,76.3,50%,1336.49,23.53,21000,25000,1,하나,8.0,2,0.9423,"[(0, 0.016011126), (1, 0.012825706), (2, 0.9422512), (3, 0.015215852), (4, 0.013696097)]"
236,센코,2020-10-29,13000,13350,0,15250,코스닥,중소일반,19835,-2158,-2411,3885,1612000,500,17.8,366.42,20956,30000,2020-10-21,8.3,71.7,50%,848.37,2.2,10000,13000,1,한국,2.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
237,바이브컴퍼니,2020-10-28,28000,40000,0,31300,코스닥,중소일반,16298,-842,-777,2697,650000,500,0.0,1266.22,18200,3800,2020-10-20,20.0,60.0,50%,1221.45,7.96,23000,28000,1,한국,2.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148712), (3, 0.8859616), (4, 0.029280895)]"
238,미코바이오메드,2020-10-22,15000,16100,0,13700,코스닥,중소일반,4098,-13172,-13172,8358,2500000,500,0.0,41.74,37500,20000,2020-10-14,10.0,70.0,50%,159.15,0.02,12000,15000,1,KB,5.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
239,피플바이오,2020-10-19,20000,18000,0,23400,코스닥,중소일반,895,-4001,-4001,2752,500000,500,0.0,51.08,10000,6000,2020-10-08,0.0,80.0,50%,40.4,0.0,25000,30000,0,키움,7.0,3,0.4677,"[(0, 0.24819532), (1, 0.2433107), (2, 0.018022286), (3, 0.4676751), (4, 0.022796547)]"
240,하이브(구.빅히트),2020-10-15,135000,270000,1,258000,거래소,중소일반,587224,98492,72424,17811,7130000,500,0.0,606.97,962550,0,2020-10-06,20.0,60.0,50%,1117.25,43.85,105000,135000,1,미래에셋,1.0,4,0.9252,"[(0, 0.021791527), (1, 0.017477205), (2, 0.014754967), (3, 0.02073422), (4, 0.92524207)]"
241,넥스틴,2020-10-08,75400,71100,0,71600,코스닥,중소일반,9394,-2625,-2625,1567,320000,500,0.0,13.92,24128,3200,2020-09-25,9.1,70.9,50%,30.25,23.3,61500,75400,1,그외,17.0,4,0.8827,"[(0, 0.034188747), (1, 0.027420076), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
242,원방테크,2020-09-24,54300,48900,0,43700,코스닥,중소일반,118882,18862,14592,2147,1282716,500,70.0,348.77,69651,12500,2020-09-16,3.6,76.4,50%,406.8,3.2,43000,54300,1,미래에셋,1.0,4,0.8827,"[(0, 0.034192972), (1, 0.027420137), (2, 0.0231487), (3, 0.032530047), (4, 0.88270813)]"
243,비나텍,2020-09-23,33000,44000,0,40750,코스닥,중소일반,42763,5956,4405,2435,600000,500,0.0,1386.85,19800,6000,2020-09-15,15.0,65.0,50%,1098.1,22.47,27000,32000,2,대신,9.0,0,0.8429,"[(0, 0.84293956), (1, 0.038321987), (2, 0.032352284), (3, 0.045463536), (4, 0.04092266)]"
244,박셀바이오,2020-09-22,30000,27000,0,21300,코스닥,중소일반,0,-1254,-1254,3761,985160,500,0.0,96.44,29555,9500,2020-09-11,0.0,80.0,50%,94.18,11.68,30000,35000,1,하나,8.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
245,비비씨,2020-09-21,30700,27650,0,22300,코스닥,중소일반,19073,6340,5653,2190,1200000,500,21.17,464.19,36840,12000,2020-09-10,0.0,80.0,50%,977.5,3.9,27100,30700,1,미래에셋,1.0,0,0.8429,"[(0, 0.84293723), (1, 0.038322512), (2, 0.032352302), (3, 0.045463208), (4, 0.040924713)]"
246,핌스,2020-09-18,19000,21000,0,18300,코스닥,중소일반,37783,6453,5544,3632,2000000,500,30.0,1161.84,38000,40000,2020-09-10,3.5,76.5,50%,1210.28,4.39,15000,19000,1,DB,15.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
247,압타머사이언스,2020-09-16,25000,28850,0,27750,코스닥,중소일반,408,-3853,-3853,4463,1300000,500,0.0,1251.29,32500,16000,2020-09-08,2.0,78.0,50%,830.32,3.27,20000,25000,1,키움,7.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
248,이오플로우,2020-09-14,19000,21750,0,20000,코스닥,중소일반,0,-9389,-9389,1113,1400000,100,0.0,686.71,26600,14000,2020-09-04,5.0,75.0,50%,150.87,14.83,18000,21000,1,하나,8.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
249,카카오게임즈,2020-09-10,24000,48000,1,62400,코스닥,중소일반,322392,44237,33315,7320,16000000,100,0.0,1524.8,384000,0,2020-09-02,9.51,70.49,50%,1478.53,58.59,20000,24000,1,한국,2.0,3,0.886,"[(0, 0.03418873), (1, 0.027420064), (2, 0.023148704), (3, 0.8859616), (4, 0.029280894)]"
250,피엔케이피부임상연구센타,2020-09-09,18300,28000,0,26800,코스닥,중소일반,12499,6316,5376,3751,2233000,500,39.99,1727.11,40864,22000,2020-09-01,0.0,80.0,50%,1372.51,17.1,16100,18300,1,미래에셋,1.0,0,0.9284,"[(0, 0.92836934), (1, 0.017476767), (2, 0.0147549305), (3, 0.020734677), (4, 0.01866424)]"
251,아이디피,2020-08-24,9800,13200,0,12500,코스닥,중소일반,23230,4052,2916,3318,1600000,500,20.63,1149.83,15680,20000,2020-08-12,4.5,75.5,50%,894.0,7.4,8800,9800,1,키움,7.0,3,0.8406,"[(0, 0.047782138), (1, 0.03832221), (2, 0.032352466), (3, 0.8406202), (4, 0.040922903)]"
252,셀레믹스,2020-08-21,20000,24900,0,25800,코스닥,중소일반,5141,-2256,-2256,3902,1320000,500,0.0,1176.45,26400,13200,2020-08-11,0.0,80.0,50%,1203.41,5.41,16100,20000,1,대신,9.0,3,0.9273,"[(0, 0.021798078), (1, 0.017476702), (2, 0.014754352), (3, 0.92730814), (4, 0.018662736)]"
253,미투젠,2020-08-18,27000,29100,0,25500,코스닥,중소일반,0,0,0,0,3199200,0,48.0,1010.86,86378,30000,2020-08-06,0.0,80.0,50%,1114.56,1.35,21000,27000,1,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
254,브랜드엑스코퍼레이션,2020-08-13,13000,12900,0,11700,코스닥,중소일반,64097,9307,7629,9531,3797209,500,40.0,8.54,49364,18500,2020-08-05,5.0,75.0,50%,47.06,0.0,12400,15300,1,삼성,3.0,2,0.8765,"[(0, 0.03425105), (1, 0.027420115), (2, 0.8765166), (3, 0.03253055), (4, 0.02928171)]"
255,영림원소프트랩,2020-08-12,11500,17600,0,13650,코스닥,중소일반,37899,4101,4127,4065,1700000,500,0.0,2493.57,19550,17000,2020-08-04,5.0,75.0,50%,1269.3,4.3,9500,11500,1,미래에셋,1.0,3,0.9112,"[(0, 0.02661687), (1, 0.021347275), (2, 0.01802189), (3, 0.9112179), (4, 0.02279598)]"
256,한국파마,2020-08-10,9000,18000,1,16850,코스닥,중소일반,66136,6958,5528,5453,3243000,500,622.9,2036.0,29187,0,2020-07-30,4.6,75.4,50%,1296.86,0.0,6500,8500,2,미래에셋,1.0,3,0.7354,"[(0, 0.07931601), (1, 0.06361306), (2, 0.053703584), (3, 0.7354373), (4, 0.06793008)]"
257,이루다,2020-08-06,9000,18000,1,17650,코스닥,중소일반,17779,2110,2031,3532,1500000,500,20.0,3039.55,13500,15000,2020-07-28,5.0,75.0,50%,1316.5,7.8,7500,9000,1,미래에셋,1.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
258,와이팜,2020-07-31,11000,15550,0,18800,코스닥,중소일반,125429,14944,11334,16713,7428272,500,50.0,712.13,81711,59200,2020-07-22,0.0,80.0,50%,407.01,8.01,9700,11000,1,NH,4.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
259,이엔드디,2020-07-30,14400,18200,0,21000,코스닥,중소일반,58313,4428,6194,4676,2340000,500,0.0,808.62,33696,22000,2020-07-22,5.0,75.0,50%,1168.72,8.99,12350,14400,1,그외,17.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420435), (2, 0.023148762), (3, 0.032529984), (4, 0.029281953)]"
260,엠투아이,2020-07-29,15600,18850,0,15900,코스닥,중소일반,24715,7043,6003,839,3335000,100,74.96,176.83,52026,33000,2020-07-17,2.9,77.1,50%,61.7,1.6,15600,18900,1,미래에셋,1.0,2,0.9423,"[(0, 0.016011093), (1, 0.012825706), (2, 0.94225127), (3, 0.015215852), (4, 0.013696097)]"
261,더네이쳐홀딩스,2020-07-27,46000,41400,0,43000,코스닥,중소일반,235344,24941,16142,3591,1200000,500,16.67,151.9,55200,8000,2020-07-16,4.9,75.1,50%,97.21,8.46,45000,50000,1,한국,2.0,0,0.9394,"[(0, 0.93936473), (1, 0.014795159), (2, 0.012489902), (3, 0.017551484), (4, 0.015798708)]"
262,제놀루션,2020-07-24,14000,28000,1,24750,코스닥,중소일반,3951,-287,-287,1939,800000,500,0.0,894.67,11200,8000,2020-07-15,5.0,75.0,50%,1161.09,21.36,12000,14000,1,신영,12.0,3,0.9273,"[(0, 0.0217982), (1, 0.017476702), (2, 0.014754349), (3, 0.927308), (4, 0.018662736)]"
263,솔트룩스,2020-07-23,25000,40000,0,34300,코스닥,중소일반,15335,135,145,2515,750000,500,0.0,953.53,18750,5000,2020-07-14,20.0,60.0,50%,528.17,5.58,24000,30000,1,한국,2.0,3,0.9112,"[(0, 0.02661687), (1, 0.021347275), (2, 0.01802189), (3, 0.9112179), (4, 0.02279598)]"
264,티에스아이,2020-07-22,10000,20000,1,17200,코스닥,중소일반,60918,-10721,-12175,3894,1847000,500,25.01,1621.1,18470,36000,2020-07-14,6.4,73.6,50%,1283.73,4.97,7500,9500,2,한국,2.0,4,0.8827,"[(0, 0.034188747), (1, 0.02742008), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
265,이지스밸류플러스리츠,2020-07-16,5000,4800,0,4410,거래소,중소일반,0,0,0,300,23700000,1000,0.0,26.86,118500,3800000,2020-06-17,0.0,50.0,50%,87.09,8.7,5000,5000,1,삼성,3.0,4,0.8361,"[(0, 0.047782384), (1, 0.03832239), (2, 0.032352615), (3, 0.045464043), (4, 0.8360786)]"
266,에이프로,2020-07-16,21600,43200,1,56100,코스닥,중소일반,67358,9908,7578,3440,1367917,500,0.0,1582.52,29547,10800,2020-07-09,0.0,80.0,50%,1090.8,10.46,19000,21600,1,NH,4.0,2,0.9423,"[(0, 0.01599266), (1, 0.012825688), (2, 0.9422577), (3, 0.015227849), (4, 0.0136960875)]"
267,소마젠,2020-07-13,11000,11650,0,15100,코스닥,중소일반,21214,-2621,-2623,0,4200000,0,0.0,4.42,46200,84000,2020-06-30,0.0,80.0,50%,69.46,0.0,11000,15000,1,신한,6.0,0,0.9284,"[(0, 0.92836934), (1, 0.017476767), (2, 0.014754968), (3, 0.020734677), (4, 0.01866424)]"
268,신도기연,2020-07-06,16000,32000,1,22400,코스닥,중소일반,48854,4348,3189,4030,1300000,500,0.0,955.01,20800,8000,2020-06-26,0.0,80.0,50%,1272.9,14.51,14000,16000,1,한국,2.0,4,0.8827,"[(0, 0.034188747), (1, 0.02742008), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
269,위더스제약,2020-07-03,15900,31800,1,34400,코스닥,중소일반,51732,11023,8661,1550,1600000,200,37.85,1082.03,25440,6400,2020-06-26,20.0,60.0,50%,1033.41,17.36,13900,15900,1,삼성,3.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
270,SK바이오팜,2020-07-02,49000,98000,1,127000,거래소,중소일반,1069,-142139,-142139,39156,19578310,500,32.0,323.03,959337,72076,2020-06-24,20.0,60.0,50%,835.66,81.15,36000,49000,1,한국,2.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
271,마크로밀엠브레인,2020-07-01,6800,13600,1,16050,코스닥,중소일반,39075,2505,1952,4484,1400000,500,0.0,888.01,9520,11200,2020-06-19,20.0,60.0,50%,1056.8,19.39,5200,6400,2,NH,4.0,0,0.2333,"[(0, 0.23326142), (1, 0.18708047), (2, 0.1579376), (3, 0.22194403), (4, 0.19977646)]"
272,젠큐릭스,2020-06-25,22700,25100,0,21650,코스닥,중소일반,267,-5649,-5649,2696,1000000,500,0.0,12.35,22700,10000,2020-06-16,0.0,80.0,50%,77.03,0.0,22700,26100,1,미래에셋,1.0,0,0.9394,"[(0, 0.93936336), (1, 0.014794326), (2, 0.012489671), (3, 0.01755398), (4, 0.01579865)]"
273,엘이티,2020-06-22,7800,15600,1,20250,코스닥,중소일반,40933,9466,7172,4427,2197000,500,0.0,1552.16,17137,20000,2020-06-12,20.0,60.0,50%,1255.9,24.5,6400,7800,1,미래에셋,1.0,4,0.8827,"[(0, 0.034188747), (1, 0.02742008), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
274,에스씨엠생명과학,2020-06-17,17000,29500,0,36100,코스닥,중소일반,29,-40095,-40095,5870,1800000,500,0.0,814.91,30600,30000,2020-06-09,0.0,80.0,50%,1032.17,7.7,14000,17000,1,한국,2.0,3,0.6012,"[(0, 0.03418927), (1, 0.31222865), (2, 0.023148969), (3, 0.60115176), (4, 0.02928132)]"
275,드림씨아이에스,2020-05-22,14900,28000,0,30500,코스닥,중소일반,19200,3638,3417,2709,1354786,500,0.0,669.22,20186,10800,2020-05-13,0.0,80.0,50%,926.11,6.82,13000,14900,1,NH,4.0,1,0.8809,"[(0, 0.03418874), (1, 0.88085175), (2, 0.023148648), (3, 0.03252997), (4, 0.029280903)]"
276,엔피디,2020-03-16,5400,4860,0,3775,코스닥,중소일반,259266,11671,8574,10767,7550000,500,0.0,32.65,40770,75000,2020-03-04,0.7,79.3,50%,307.5,8.78,5400,6300,1,유안타,10.0,4,0.8827,"[(0, 0.034208823), (1, 0.027420156), (2, 0.02314871), (3, 0.032530062), (4, 0.8826923)]"
277,플레이디,2020-03-12,8500,11250,0,8800,코스닥,중소일반,34711,7261,6038,6413,3689320,500,0.0,864.8,31359,36000,2020-03-03,19.9,60.1,50%,1270.7,7.55,6800,7700,2,KB,5.0,3,0.8406,"[(0, 0.047782123), (1, 0.0383222), (2, 0.03235246), (3, 0.8406203), (4, 0.04092289)]"
278,서울바이오시스,2020-03-06,7500,13000,0,11100,코스닥,중소일반,368194,7261,5857,19111,2000000,500,0.0,942.7,15000,20000,2020-02-27,20.0,60.0,50%,1119.0,10.5,6500,7500,1,KB,5.0,4,0.7279,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.075467736), (4, 0.7278996)]"
279,제이앤티씨,2020-03-04,11000,10200,0,10350,코스닥,중소일반,229357,29481,28114,28924,11000000,500,0.0,3.48,121000,130000,2020-02-25,3.97,76.03,50%,1077.88,6.72,8500,10500,2,신한,6.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
280,켄코아에어로스페이스,2020-03-03,10000,11500,0,10250,코스닥,중소일반,28937,-9988,-9409,5254,1572330,500,16.43,256.68,15723,12400,2020-02-21,2.0,78.0,50%,120.75,2.55,13000,15000,0,NH,4.0,2,0.8766,"[(0, 0.034189373), (1, 0.027440175), (2, 0.87655854), (3, 0.032530546), (4, 0.029281402)]"
281,레몬,2020-02-28,7200,8620,0,10400,코스닥,중소일반,31438,16,-2377,17250,4100000,500,0.0,800.07,29520,0,2020-02-20,13.4,66.6,50%,426.0,6.3,6200,7200,1,미래에셋,1.0,0,0.8429,"[(0, 0.8429395), (1, 0.038322), (2, 0.032352295), (3, 0.045463555), (4, 0.04092268)]"
282,서남,2020-02-20,3100,3900,0,4750,코스닥,중소일반,4854,-1449,-1449,10182,3500000,500,0.0,881.6,10850,23000,2020-02-11,0.0,80.0,50%,1228.4,5.21,2700,3100,1,한국,2.0,0,0.8876,"[(0, 0.8876128), (1, 0.027420212), (2, 0.023149984), (3, 0.03253012), (4, 0.029286807)]"
283,위세아이텍,2020-02-10,12000,13900,0,12400,코스닥,중소일반,16549,1821,1505,2146,850000,500,0.0,1076.62,10200,17000,2020-01-30,0.0,80.0,50%,1105.93,6.95,10000,11200,2,교보,11.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148717), (3, 0.8859616), (4, 0.029280895)]"
284,피피아이,2019-12-26,7000,11000,0,9630,코스닥,중소일반,38120,1758,2549,4654,1000000,500,0.0,1147.7,7000,10000,2019-12-17,0.0,80.0,50%,997.33,2.47,6000,7000,1,미래에셋,1.0,4,0.8827,"[(0, 0.034206085), (1, 0.027420156), (2, 0.02314871), (3, 0.032530062), (4, 0.88269496)]"
285,천랩,2019-12-26,40000,42950,0,38500,코스닥,중소일반,3924,-3135,-3135,1683,430000,500,0.0,638.63,17200,2500,2019-12-18,0.0,80.0,50%,51.11,0.0,63000,78000,0,한국,2.0,1,0.8809,"[(0, 0.034188736), (1, 0.88085175), (2, 0.023148647), (3, 0.03252997), (4, 0.029280901)]"
286,메탈라이프,2019-12-24,13000,26000,1,33800,코스닥,중소일반,19270,4296,3742,1732,700000,500,0.0,1397.97,9100,7000,2019-12-13,0.0,80.0,50%,1288.0,22.46,10500,13000,1,한국,2.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
287,브릿지바이오테라퓨틱스,2019-12-20,60000,62400,0,54300,코스닥,중소일반,0,-40733,-40733,3112,700000,500,0.0,33.52,42000,9800,2019-12-13,1.4,78.6,50%,58.85,0.06,70000,80000,0,KB,5.0,3,0.9273,"[(0, 0.021798013), (1, 0.0174767), (2, 0.014754349), (3, 0.9273082), (4, 0.018662734)]"
288,메드팩토,2019-12-19,40000,40000,0,35900,코스닥,중소일반,0,-37578,-37578,5048,1511000,500,0.0,18.84,60440,15000,2019-12-11,2.6,77.4,50%,86.41,13.83,34000,43000,1,삼성,3.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.023148652), (3, 0.032529972), (4, 0.029280908)]"
289,신테카바이오,2019-12-17,12000,14950,0,16700,코스닥,중소일반,287,-3747,-3747,6577,1600000,500,0.0,123.2,19200,16000,2019-12-10,0.0,80.0,50%,75.61,1.32,15000,19000,0,그외,17.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148706), (3, 0.8859616), (4, 0.029280895)]"
290,제이엘케이인스펙션,2019-12-11,9000,8500,0,9000,코스닥,중소일반,363,-6196,-6277,1489,2000000,100,0.0,8.49,18000,13000,2019-12-03,0.0,80.0,50%,69.81,0.0,11000,14500,0,한국,2.0,3,0.9273,"[(0, 0.021790903), (1, 0.017476745), (2, 0.014754263), (3, 0.92731535), (4, 0.018662782)]"
291,태웅로직스,2019-12-10,4500,8170,0,6110,코스닥,중소일반,24394,9453,7318,1765,5000000,100,0.0,618.52,22500,50000,2019-11-27,20.0,60.0,50%,1024.98,2.53,3700,4500,1,그외,17.0,0,0.9125,"[(0, 0.9125038), (1, 0.021347383), (2, 0.018022956), (3, 0.025327163), (4, 0.02279868)]"
292,리메드,2019-12-06,13000,14100,0,13450,코스닥,중소일반,8004,-7301,-7381,2911,600000,500,0.0,92.69,7800,4000,2019-11-26,0.0,80.0,50%,24.76,0.0,14500,16500,0,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
293,엔에이치프라임리츠,2019-12-05,5000,5000,0,6500,거래소,중소일반,0,0,0,9330,13760000,500,0.0,317.62,68800,0,2019-11-20,0.0,29.1,50%,711.65,43.2,5000,5000,1,한국,2.0,4,0.8361,"[(0, 0.047782388), (1, 0.038322393), (2, 0.03235262), (3, 0.045464046), (4, 0.8360786)]"
294,코리아센터,2019-11-29,18000,23000,0,22850,코스닥,중소일반,189670,6714,4874,2545,2545490,100,9.09,4.13,45819,13200,2019-11-22,0.0,80.0,50%,37.77,6.04,24000,27200,0,삼성,3.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
295,노터스,2019-11-27,20000,29750,0,36500,코스닥,중소일반,36308,4340,3747,7,500000,100,0.0,22.31,10000,5000,2019-11-15,5.0,75.0,50%,699.46,0.59,17000,20000,1,대신,9.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
