,offering_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price,manager_rank,topic,label
752,13000,1,2,4558,-8971,-8971,6036,2226300,500,0.0,1751.25,28942,55500,3.5,75.0,1,1724.66,59.95,2,12.0,3,1
753,21000,1,2,26901,9743,7570,4654,1900000,500,0.0,1033.82,39900,30000,15.0,75.0,1,1260.0,37.12,1,7.0,4,1
754,2000,1,2,0,0,0,0,4650000,100,0.0,253.85,9300,55000,0.0,75.0,0,525.89,2.47,1,1.0,0,1
755,16400,1,2,29135,2393,2162,1843,885000,500,16.72,2029.37,14514,2000,0.0,75.0,1,1729.63,11.16,1,2.0,2,1
756,12500,1,2,61373,6544,5587,2672,704000,500,0.0,1011.76,8800,14000,10.0,70.0,1,61.83,0.0,1,6.0,1,1
757,5000,1,2,28570,3964,3263,3293,2220000,500,25.0,1160.15,11100,44000,8.0,72.0,1,588.13,25.95,1,12.0,2,1
758,53000,0,2,3018454,71378,96302,12500,28749950,100,0.0,194.9,1523747,105000,20.0,50.0,1,465.0,35.14,1,1.0,4,1
759,11500,1,2,47403,44,4333,3057,1835000,500,33.24,1987.74,21103,22000,10.0,70.0,1,1431.0,17.83,1,3.0,0,1
760,3800,1,2,10206,873,653,2183,4500000,100,0.0,2345.4,17100,55000,15.0,60.0,1,1515.98,12.35,2,8.0,1,1
761,6000,1,2,16434,2561,2130,1590,1784500,200,20.31,1019.62,10707,17500,0.0,80.0,1,1087.6,0.0,2,1.0,3,1
762,25000,1,2,14829,4185,3734,2054,600000,500,33.33,1190.39,15000,10000,0.0,75.0,1,1428.8,8.92,2,7.0,3,1
763,6000,1,2,328046,18903,14766,1443,3600000,100,0.0,938.26,21600,30000,0.0,75.0,1,1576.56,3.95,1,6.0,0,1
764,20000,1,2,24192,-1761,-2088,4454,1600000,500,20.0,1408.33,32000,13300,20.0,75.0,1,1638.36,36.8,1,12.0,0,1
765,12050,1,2,22771,1230,1525,543,1125000,100,0.0,1164.16,13556,11200,11.1,68.9,1,1240.9,11.9,1,1.0,3,1
766,8000,1,2,19421,6609,5340,2487,1250000,500,0.0,479.79,10000,25000,5.0,75.0,1,60.5,0.2,0,7.0,0,1
767,13000,1,2,19270,4296,3742,1732,700000,500,0.0,1397.97,9100,7000,0.0,80.0,1,1288.0,22.46,1,2.0,1,1
768,13000,1,2,27040,8704,8748,2385,960000,500,0.0,735.99,12480,9600,0.0,80.0,1,224.12,24.62,1,17.0,3,1
769,190000,0,2,7046833,496990,325983,38688,6099604,500,0.0,134.19,1158925,30000,20.0,60.0,1,651.5,48.11,1,2.0,3,1
770,15000,1,2,577,-44067,-44067,7742,2400000,500,0.0,566.54,36000,12000,0.0,80.0,1,64.33,0.03,0,3.0,1,1
771,6500,0,2,775740,48459,33843,22028,15728791,500,66.67,1372.94,102237,0,20.0,60.0,1,1195.69,30.6,2,1.0,1,1
772,11000,1,2,39376,3086,2685,4134,1800000,500,0.0,2498.8,19800,14000,5.0,75.0,1,1631.0,18.29,2,5.0,3,1
773,17000,1,2,146148,16643,14127,5555,2900000,500,50.0,1396.1,49300,23000,0.0,80.0,1,1196.21,8.86,1,8.0,1,1
774,13000,1,2,27040,8704,8748,2385,960000,500,0.0,735.99,12480,9600,0.0,80.0,1,224.12,24.62,1,17.0,3,1
775,5800,1,2,33736,1178,1020,5042,1630000,500,0.0,1414.15,9454,10000,0.0,80.0,1,1386.04,8.23,1,2.0,0,1
776,17000,0,2,913607,40260,38483,23166,6400000,500,0.0,1147.76,108800,0,20.0,80.0,1,1167.55,20.79,2,1.0,0,1
777,11000,1,2,12839,-3895,-4430,4713,1400000,500,0.0,2342.0,15400,11000,8.9,75.0,1,1691.65,24.42,1,2.0,4,1
778,15000,1,2,15082,-1343,-2180,3982,1600000,500,0.0,2683.0,24000,14000,0.0,75.0,1,1535.42,11.08,2,6.0,4,1
779,15900,1,2,51732,11023,8661,1550,1600000,200,37.85,1082.03,25440,6400,20.0,60.0,1,1033.41,17.36,1,3.0,3,1
780,13000,1,2,27040,8704,8748,2385,960000,500,0.0,735.99,12480,9600,0.0,80.0,1,224.12,24.62,1,17.0,3,1
781,25000,1,2,14829,4185,3734,2054,600000,500,33.33,1190.39,15000,10000,0.0,75.0,1,1428.8,8.92,2,7.0,3,1
782,22000,1,2,14324,1062,1170,3098,930000,500,0.0,1030.65,20460,21000,7.5,75.0,1,1702.43,11.42,2,12.0,4,1
783,3000,1,2,9385,2436,2258,1203,2600000,100,0.0,1643.88,7800,30000,0.0,75.0,1,1603.33,6.36,1,16.0,0,1
784,5500,1,2,11198,2432,1906,1346,673500,500,0.0,358.0,3704,13000,0.0,80.0,1,43.42,0.0,0,8.0,0,1
785,36000,1,2,244,-51,-5164,3216,1200000,500,0.0,847.09,43200,9600,0.0,80.0,1,876.72,74.03,2,4.0,3,1
786,40000,1,2,46,-84669,-84669,6930,2000000,500,9.69,1175.1,80000,13000,7.5,72.5,1,1163.49,9.08,1,2.0,3,1
787,6800,1,2,39075,2505,1952,4484,1400000,500,0.0,888.01,9520,11200,20.0,60.0,1,1056.8,19.39,2,4.0,0,1
788,2000,1,2,0,0,0,0,4650000,100,0.0,253.85,9300,55000,0.0,75.0,0,525.89,2.47,1,1.0,0,1
789,11000,1,2,2195,112,112,3678,1200000,500,0.0,1206.75,13200,12000,14.9,65.1,1,842.79,41.12,2,2.0,2,1
790,17000,1,2,13993,1329,1354,5112,1774967,500,10.42,3763.37,30174,22000,0.0,75.0,1,1846.32,55.52,2,1.0,4,1
791,10500,1,2,5414,546,734,1509,3700000,100,18.92,868.07,38850,50000,0.0,75.0,1,1325.79,1.41,1,7.0,3,1
792,8300,1,2,69032,14599,14887,3087,1900871,500,0.0,675.79,15777,19000,20.0,60.0,1,578.2,59.5,2,17.0,0,1
793,6600,1,2,106532,4502,3513,3075,1526180,500,0.0,1690.0,10073,30000,10.0,70.0,1,839.16,31.92,1,6.0,0,1
794,7800,1,2,40933,9466,7172,4427,2197000,500,0.0,1552.16,17137,20000,20.0,60.0,1,1255.9,24.5,1,1.0,4,1
795,13000,1,2,19270,4296,3742,1732,700000,500,0.0,1397.97,9100,7000,0.0,80.0,1,1288.0,22.46,1,2.0,1,1
796,16000,1,2,60015,3775,3174,4419,1300000,500,23.08,939.39,20800,13000,20.0,60.0,1,1453.12,12.64,2,9.0,3,1
797,135000,0,2,587224,98492,72424,17811,7130000,500,0.0,606.97,962550,0,20.0,60.0,1,1117.25,43.85,1,1.0,4,1
798,10000,1,2,60918,-10721,-12175,3894,1847000,500,25.01,1621.1,18470,36000,6.4,73.6,1,1283.73,4.97,2,2.0,4,1
799,22000,1,2,18260,3078,2916,3627,1220000,500,0.0,2266.84,26840,15000,0.0,75.0,1,1627.34,9.2,2,9.0,3,1
800,24000,1,2,322392,44237,33315,7320,16000000,100,0.0,1524.8,384000,0,9.51,70.49,1,1478.53,58.59,1,2.0,3,1
801,10000,1,2,27952,2509,2505,4290,2150000,500,0.0,2535.3,21500,16000,6.0,69.0,1,1756.45,15.92,2,2.0,4,1
802,36000,1,2,32655,8374,7286,2032,800000,500,0.0,1109.19,28800,5000,5.0,75.0,1,338.91,0.41,1,2.0,0,1
803,16500,1,2,20295,3233,2789,2872,1890000,500,33.33,857.78,31185,30000,3.0,77.0,1,942.85,40.5,2,2.0,2,1
804,13000,1,2,27040,8704,8748,2385,960000,500,0.0,735.99,12480,9600,0.0,80.0,1,224.12,24.62,1,17.0,3,1
805,18000,1,2,13664,2902,2425,2045,410001,500,0.0,159.97,7380,7800,4.7,75.3,1,74.62,0.0,0,2.0,0,1
806,105000,0,2,263037,76617,63684,71297,21390000,1000,0.0,288.17,2245950,0,20.0,75.0,1,1882.88,63.2,1,1.0,0,1
807,3000,1,2,9385,2436,2258,1203,2600000,100,0.0,1643.88,7800,30000,0.0,75.0,1,1603.33,6.36,1,16.0,0,1
808,5200,1,2,20588,4521,3631,5538,2769000,500,0.0,946.51,14399,25000,10.0,70.0,1,753.07,5.19,1,2.0,2,1
809,10000,1,2,3291,-11416,-11416,6684,2000000,500,0.0,1322.58,20000,12000,5.0,75.0,1,1315.61,3.88,1,4.0,3,1
810,11500,1,2,32759,3014,2679,4144,2100000,500,0.0,2262.09,24150,52500,1.9,73.1,1,1427.15,20.73,1,6.0,3,1
811,11000,1,2,116861,2131,-216,1429,3552037,100,40.0,117.63,39072,88000,0.0,75.0,1,37.51,0.45,0,9.0,1,1
812,28000,1,2,17037,4388,3866,2696,600000,500,0.0,2939.57,16800,5000,5.0,75.0,1,1696.19,31.59,2,5.0,2,1
813,9000,1,2,66136,6958,5528,5453,3243000,500,622.9,2036.0,29187,0,4.6,75.4,1,1296.86,0.0,2,1.0,3,1
814,21000,1,2,30555,7099,6234,2398,650000,500,0.0,1034.74,13650,16250,0.0,75.0,1,1594.95,0.0,1,15.0,1,1
815,21600,1,2,67358,9908,7578,3440,1367917,500,0.0,1582.52,29547,10800,0.0,80.0,1,1090.8,10.46,1,4.0,2,1
816,28000,1,2,17037,4388,3866,2696,600000,500,0.0,2939.57,16800,5000,5.0,75.0,1,1696.19,31.59,2,5.0,2,1
817,10500,1,2,5414,546,734,1509,3700000,100,18.92,868.07,38850,50000,0.0,75.0,1,1325.79,1.41,1,7.0,3,1
818,13000,1,2,27044,4859,4521,9577,2050000,500,0.0,1637.43,26650,17000,0.0,75.0,1,1723.21,25.64,1,2.0,4,1
819,34300,0,2,113525,15369,15579,18156,10893990,500,33.33,654.5,373664,50000,20.0,75.0,1,1471.01,61.52,1,1.0,0,1
820,17000,1,2,13993,1329,1354,5112,1774967,500,10.42,3763.37,30174,22000,0.0,75.0,1,1846.32,55.52,2,1.0,4,1
821,16000,1,2,47015,10379,8164,5295,2415200,500,28.86,683.55,38643,24000,2.5,77.5,1,1427.69,61.06,2,12.0,4,1
822,11000,1,2,29198,2803,2732,1018,360000,500,0.0,1389.86,3960,6000,10.0,70.0,1,608.66,0.0,1,2.0,4,1
823,18500,1,2,34489,3274,2260,5277,2000000,500,0.0,79976.0,37000,0,20.0,60.0,1,733.72,51.66,2,8.0,0,1
